Indicator,periodval,data_source,country_code,Date,pop,dftype,Counts,Rate,tabtitlex
Cases,14 days,JHU,ERI,2021-09-09,6147398,cross,18,0.3,Cases reported in the past 14 days
Cases,14 days,JHU,ESP,2021-09-09,47260584,cross,80701,170.8,Cases reported in the past 14 days
Cases,14 days,JHU,EST,2021-09-09,1220042,cross,5004,410.1,Cases reported in the past 14 days
Cases,14 days,JHU,ETH,2021-09-09,110871031,cross,18740,16.9,Cases reported in the past 14 days
Cases,14 days,JHU,FIN,2021-09-09,5587442,cross,7887,141.2,Cases reported in the past 14 days
Cases,14 days,JHU,FJI,2021-09-09,939535,cross,3404,362.3,Cases reported in the past 14 days
Cases,14 days,JHU,FLK,2021-09-09,3198,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,FRA,2021-09-09,68084217,cross,185325,272.2,Cases reported in the past 14 days
Cases,14 days,JHU,FRO,2021-09-09,51943,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,FSM,2021-09-09,101675,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,GAB,2021-09-09,2284912,cross,617,27,Cases reported in the past 14 days
Cases,14 days,JHU,GBR,2021-09-09,67081000,cross,505284,753.2,Cases reported in the past 14 days
Cases,14 days,JHU,GEO,2021-09-09,4933674,cross,40777,826.5,Cases reported in the past 14 days
Cases,14 days,JHU,GGY,2021-09-09,67334,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,GHA,2021-09-09,32372889,cross,6102,18.8,Cases reported in the past 14 days
Cases,14 days,JHU,GIB,2021-09-09,29516,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,GIN,2021-09-09,12877894,cross,744,5.8,Cases reported in the past 14 days
Cases,14 days,JHU,GLP,2021-09-09,0,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,GMB,2021-09-09,2221301,cross,287,12.9,Cases reported in the past 14 days
Cases,14 days,JHU,GNB,2021-09-09,1976187,cross,282,14.3,Cases reported in the past 14 days
Cases,14 days,JHU,GNQ,2021-09-09,857008,cross,1111,129.6,Cases reported in the past 14 days
Cases,14 days,JHU,GRC,2021-09-09,10569703,cross,35914,339.8,Cases reported in the past 14 days
Cases,14 days,JHU,GRD,2021-09-09,113570,cross,1453,1279.4,Cases reported in the past 14 days
Cases,14 days,JHU,GRL,2021-09-09,57799,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,GTM,2021-09-09,17422821,cross,45577,261.6,Cases reported in the past 14 days
Cases,14 days,JHU,GUF,2021-09-09,0,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,GUM,2021-09-09,168801,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,GUY,2021-09-09,787971,cross,2437,309.3,Cases reported in the past 14 days
Cases,14 days,JHU,HKG,2021-09-09,7263234,cross,56,0.8,Cases reported in the past 14 days
Cases,14 days,JHU,HND,2021-09-09,9346277,cross,15004,160.5,Cases reported in the past 14 days
Cases,14 days,JHU,HRV,2021-09-09,4208973,cross,9281,220.5,Cases reported in the past 14 days
Cases,14 days,JHU,HTI,2021-09-09,11198240,cross,291,2.6,Cases reported in the past 14 days
Cases,14 days,JHU,HUN,2021-09-09,9728337,cross,2892,29.7,Cases reported in the past 14 days
Cases,14 days,JHU,IDN,2021-09-09,275122131,cross,109619,39.8,Cases reported in the past 14 days
Cases,14 days,JHU,IMN,2021-09-09,90895,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,IND,2021-09-09,1339330514,cross,571766,42.7,Cases reported in the past 14 days
Cases,14 days,JHU,IRL,2021-09-09,5224884,cross,18033,345.1,Cases reported in the past 14 days
Cases,14 days,JHU,IRN,2021-09-09,85888910,cross,404664,471.1,Cases reported in the past 14 days
Cases,14 days,JHU,IRQ,2021-09-09,39650145,cross,83627,210.9,Cases reported in the past 14 days
Cases,14 days,JHU,ISL,2021-09-09,354234,cross,730,206.1,Cases reported in the past 14 days
Cases,14 days,JHU,ISR,2021-09-09,8787045,cross,117661,1339,Cases reported in the past 14 days
Cases,14 days,JHU,ITA,2021-09-09,62390364,cross,81330,130.4,Cases reported in the past 14 days
Cases,14 days,JHU,JAM,2021-09-09,2816602,cross,9713,344.8,Cases reported in the past 14 days
Cases,14 days,JHU,JEY,2021-09-09,101476,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,JOR,2021-09-09,10909567,cross,11144,102.1,Cases reported in the past 14 days
Cases,14 days,JHU,JPN,2021-09-09,124687293,cross,223058,178.9,Cases reported in the past 14 days
Cases,14 days,JHU,KAZ,2021-09-09,19245793,cross,67735,351.9,Cases reported in the past 14 days
Cases,14 days,JHU,KEN,2021-09-09,54685051,cross,9415,17.2,Cases reported in the past 14 days
Cases,14 days,JHU,KGZ,2021-09-09,6018789,cross,2070,34.4,Cases reported in the past 14 days
Cases,14 days,JHU,KHM,2021-09-09,17304363,cross,6566,37.9,Cases reported in the past 14 days
Cases,14 days,JHU,KIR,2021-09-09,113001,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,KNA,2021-09-09,54149,cross,397,733.2,Cases reported in the past 14 days
Cases,14 days,JHU,KOR,2021-09-09,51715162,cross,24204,46.8,Cases reported in the past 14 days
Cases,14 days,JHU,KWT,2021-09-09,3032065,cross,1622,53.5,Cases reported in the past 14 days
Cases,14 days,JHU,LAO,2021-09-09,7574356,cross,2638,34.8,Cases reported in the past 14 days
Cases,14 days,JHU,LBN,2021-09-09,5261372,cross,14243,270.7,Cases reported in the past 14 days
Cases,14 days,JHU,LBR,2021-09-09,5214030,cross,189,3.6,Cases reported in the past 14 days
Cases,14 days,JHU,LBY,2021-09-09,7017224,cross,19193,273.5,Cases reported in the past 14 days
Cases,14 days,JHU,LCA,2021-09-09,166637,cross,1690,1014.2,Cases reported in the past 14 days
Cases,14 days,JHU,LIE,2021-09-09,39425,cross,115,291.7,Cases reported in the past 14 days
Cases,14 days,JHU,LKA,2021-09-09,23044123,cross,65266,283.2,Cases reported in the past 14 days
Cases,14 days,JHU,LSO,2021-09-09,2177740,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,LTU,2021-09-09,2711566,cross,9509,350.7,Cases reported in the past 14 days
Cases,14 days,JHU,LUX,2021-09-09,639589,cross,1098,171.7,Cases reported in the past 14 days
Cases,14 days,JHU,LVA,2021-09-09,1862687,cross,4207,225.9,Cases reported in the past 14 days
Cases,14 days,JHU,MAC,2021-09-09,630396,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,MAF,2021-09-09,0,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,MAR,2021-09-09,36561813,cross,60419,165.3,Cases reported in the past 14 days
Cases,14 days,JHU,MCO,2021-09-09,31223,cross,95,304.3,Cases reported in the past 14 days
Cases,14 days,JHU,MDA,2021-09-09,3323875,cross,6742,202.8,Cases reported in the past 14 days
Cases,14 days,JHU,MDG,2021-09-09,27534354,cross,30,0.1,Cases reported in the past 14 days
Cases,14 days,JHU,MDV,2021-09-09,390669,cross,2039,521.9,Cases reported in the past 14 days
Cases,14 days,JHU,MEX,2021-09-09,130207371,cross,188238,144.6,Cases reported in the past 14 days
Cases,14 days,JHU,MHL,2021-09-09,78831,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,MKD,2021-09-09,2128262,cross,9218,433.1,Cases reported in the past 14 days
Cases,14 days,JHU,MLI,2021-09-09,20137527,cross,165,0.8,Cases reported in the past 14 days
Cases,14 days,JHU,MLT,2021-09-09,460891,cross,686,148.8,Cases reported in the past 14 days
Cases,14 days,JHU,MMR,2021-09-09,57069099,cross,41900,73.4,Cases reported in the past 14 days
Cases,14 days,JHU,MNE,2021-09-09,607414,cross,7649,1259.3,Cases reported in the past 14 days
Cases,14 days,JHU,MNG,2021-09-09,3198913,cross,45653,1427.1,Cases reported in the past 14 days
Cases,14 days,JHU,MNP,2021-09-09,51659,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,MOZ,2021-09-09,30888034,cross,4259,13.8,Cases reported in the past 14 days
Cases,14 days,JHU,MRT,2021-09-09,4079284,cross,1873,45.9,Cases reported in the past 14 days
Cases,14 days,JHU,MSR,2021-09-09,5387,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,MTQ,2021-09-09,0,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,MUS,2021-09-09,1386129,cross,4116,296.9,Cases reported in the past 14 days
Cases,14 days,JHU,MWI,2021-09-09,20308502,cross,905,4.5,Cases reported in the past 14 days
Cases,14 days,JHU,MYS,2021-09-09,33519406,cross,278931,832.1,Cases reported in the past 14 days
Cases,14 days,JHU,MYT,2021-09-09,0,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,NAM,2021-09-09,2678191,cross,1691,63.1,Cases reported in the past 14 days
Cases,14 days,JHU,NCL,2021-09-09,293608,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,NER,2021-09-09,23605767,cross,88,0.4,Cases reported in the past 14 days
Cases,14 days,JHU,NGA,2021-09-09,219463862,cross,8058,3.7,Cases reported in the past 14 days
Cases,14 days,JHU,NIC,2021-09-09,6243931,cross,1183,18.9,Cases reported in the past 14 days
Cases,14 days,JHU,NIU,2021-09-09,2000,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,NLD,2021-09-09,17337403,cross,36543,210.8,Cases reported in the past 14 days
Cases,14 days,JHU,NOR,2021-09-09,5509591,cross,19814,359.6,Cases reported in the past 14 days
Cases,14 days,JHU,NPL,2021-09-09,30424878,cross,19672,64.7,Cases reported in the past 14 days
Cases,14 days,JHU,NRU,2021-09-09,9770,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,NZL,2021-09-09,4991442,cross,569,11.4,Cases reported in the past 14 days
Cases,14 days,JHU,OMN,2021-09-09,3694755,cross,1140,30.9,Cases reported in the past 14 days
Cases,14 days,JHU,OTH,2021-09-09,0,cross,0,,Cases reported in the past 14 days
Cases,14 days,JHU,PAK,2021-09-09,238181034,cross,53546,22.5,Cases reported in the past 14 days
Cases,14 days,JHU,PAN,2021-09-09,3928646,cross,6352,161.7,Cases reported in the past 14 days
Cases,14 days,JHU,PCN,2021-09-09,50,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,PER,2021-09-09,32201224,cross,12324,38.3,Cases reported in the past 14 days
Cases,14 days,JHU,PHL,2021-09-09,110818325,cross,262692,237,Cases reported in the past 14 days
Cases,14 days,JHU,PLW,2021-09-09,21613,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,PNG,2021-09-09,7399757,cross,501,6.8,Cases reported in the past 14 days
Cases,14 days,JHU,POL,2021-09-09,38185913,cross,4628,12.1,Cases reported in the past 14 days
Cases,14 days,JHU,PRI,2021-09-09,3142779,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,PRK,2021-09-09,25831360,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,PRT,2021-09-09,10263850,cross,23706,231,Cases reported in the past 14 days
Cases,14 days,JHU,PRY,2021-09-09,7272639,cross,926,12.7,Cases reported in the past 14 days
Cases,14 days,JHU,PSE,2021-09-09,4906308,cross,31755,647.2,Cases reported in the past 14 days
Cases,14 days,JHU,PYF,2021-09-09,297154,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,QAT,2021-09-09,2479995,cross,2444,98.5,Cases reported in the past 14 days
Cases,14 days,JHU,REU,2021-09-09,0,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,ROU,2021-09-09,21230362,cross,19457,91.6,Cases reported in the past 14 days
Cases,14 days,JHU,RUS,2021-09-09,142320790,cross,253929,178.4,Cases reported in the past 14 days
Cases,14 days,JHU,RWA,2021-09-09,12943132,cross,6354,49.1,Cases reported in the past 14 days
Cases,14 days,JHU,SAU,2021-09-09,34783757,cross,3733,10.7,Cases reported in the past 14 days
Cases,14 days,JHU,SDN,2021-09-09,46751152,cross,233,0.5,Cases reported in the past 14 days
Cases,14 days,JHU,SEN,2021-09-09,16082442,cross,1038,6.5,Cases reported in the past 14 days
Cases,14 days,JHU,SGP,2021-09-09,5866139,cross,3111,53,Cases reported in the past 14 days
Cases,14 days,JHU,SHN,2021-09-09,7915,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,SLB,2021-09-09,690598,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,SLE,2021-09-09,6807277,cross,15,0.2,Cases reported in the past 14 days
Cases,14 days,JHU,SLV,2021-09-09,6528135,cross,4062,62.2,Cases reported in the past 14 days
Cases,14 days,JHU,SMR,2021-09-09,34467,cross,61,177,Cases reported in the past 14 days
Cases,14 days,JHU,SOM,2021-09-09,12094640,cross,1257,10.4,Cases reported in the past 14 days
Cases,14 days,JHU,SPM,2021-09-09,5321,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,SRB,2021-09-09,6974289,cross,49212,705.6,Cases reported in the past 14 days
Cases,14 days,JHU,SSD,2021-09-09,10984074,cross,224,2,Cases reported in the past 14 days
Cases,14 days,JHU,STP,2021-09-09,213948,cross,168,78.5,Cases reported in the past 14 days
Cases,14 days,JHU,SUR,2021-09-09,614749,cross,3961,644.3,Cases reported in the past 14 days
Cases,14 days,JHU,SVK,2021-09-09,5436066,cross,2936,54,Cases reported in the past 14 days
Cases,14 days,JHU,SVN,2021-09-09,2102106,cross,8370,398.2,Cases reported in the past 14 days
Cases,14 days,JHU,SWE,2021-09-09,10261767,cross,14396,140.3,Cases reported in the past 14 days
Cases,14 days,JHU,SWZ,2021-09-09,1113276,cross,2489,223.6,Cases reported in the past 14 days
Cases,14 days,JHU,SXM,2021-09-09,44564,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,SYC,2021-09-09,96387,cross,787,816.5,Cases reported in the past 14 days
Cases,14 days,JHU,SYR,2021-09-09,20384316,cross,1761,8.6,Cases reported in the past 14 days
Cases,14 days,JHU,TCA,2021-09-09,57196,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,TCD,2021-09-09,17414108,cross,22,0.1,Cases reported in the past 14 days
Cases,14 days,JHU,TGO,2021-09-09,8283189,cross,2747,33.2,Cases reported in the past 14 days
Cases,14 days,JHU,THA,2021-09-09,69480520,cross,217681,313.3,Cases reported in the past 14 days
Cases,14 days,JHU,TJK,2021-09-09,8990874,cross,389,4.3,Cases reported in the past 14 days
Cases,14 days,JHU,TKL,2021-09-09,1647,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,TKM,2021-09-09,5579889,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,TLS,2021-09-09,1413958,cross,2608,184.4,Cases reported in the past 14 days
Cases,14 days,JHU,TON,2021-09-09,105780,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,TTO,2021-09-09,1221047,cross,2803,229.6,Cases reported in the past 14 days
Cases,14 days,JHU,TUN,2021-09-09,11811335,cross,29039,245.9,Cases reported in the past 14 days
Cases,14 days,JHU,TUR,2021-09-09,82482383,cross,297117,360.2,Cases reported in the past 14 days
Cases,14 days,JHU,TUV,2021-09-09,11448,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,TWN,2021-09-09,23572052,cross,115,0.5,Cases reported in the past 14 days
Cases,14 days,JHU,TZA,2021-09-09,62092761,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,UGA,2021-09-09,44712143,cross,1849,4.1,Cases reported in the past 14 days
Cases,14 days,JHU,UKR,2021-09-09,43745640,cross,34583,79.1,Cases reported in the past 14 days
Cases,14 days,JHU,URY,2021-09-09,3398239,cross,1800,53,Cases reported in the past 14 days
Cases,14 days,JHU,USA,2021-09-09,334998398,cross,2217383,661.9,Cases reported in the past 14 days
Cases,14 days,JHU,UZB,2021-09-09,30842796,cross,10058,32.6,Cases reported in the past 14 days
Cases,14 days,JHU,VAT,2021-09-09,1000,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,VCT,2021-09-09,101145,cross,70,69.2,Cases reported in the past 14 days
Cases,14 days,JHU,VEN,2021-09-09,29069153,cross,14561,50.1,Cases reported in the past 14 days
Cases,14 days,JHU,VGB,2021-09-09,37891,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,VIR,2021-09-09,0,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,VNM,2021-09-09,102789598,cross,183158,178.2,Cases reported in the past 14 days
Cases,14 days,JHU,VUT,2021-09-09,303009,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,WLF,2021-09-09,15851,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,WSM,2021-09-09,204898,cross,0,0,Cases reported in the past 14 days
Cases,14 days,JHU,XKX,2021-09-09,1935259,cross,18258,943.4,Cases reported in the past 14 days
Cases,14 days,JHU,YEM,2021-09-09,30399243,cross,591,1.9,Cases reported in the past 14 days
Cases,14 days,JHU,ZAF,2021-09-09,56978635,cross,108069,189.7,Cases reported in the past 14 days
Cases,14 days,JHU,ZMB,2021-09-09,19077816,cross,2245,11.8,Cases reported in the past 14 days
Cases,14 days,JHU,ZWE,2021-09-09,14829988,cross,2070,14,Cases reported in the past 14 days
Cases,14 days,WHO,ABW,2021-09-09,120917,cross,760,628.5,Cases reported in the past 14 days
Cases,14 days,WHO,AFG,2021-09-09,37466414,cross,1018,2.7,Cases reported in the past 14 days
Cases,14 days,WHO,AGO,2021-09-09,33642646,cross,2810,8.4,Cases reported in the past 14 days
Cases,14 days,WHO,AIA,2021-09-09,18403,cross,131,711.8,Cases reported in the past 14 days
Cases,14 days,WHO,ALB,2021-09-09,3088385,cross,11953,387,Cases reported in the past 14 days
Cases,14 days,WHO,AND,2021-09-09,85645,cross,56,65.4,Cases reported in the past 14 days
Cases,14 days,WHO,ARE,2021-09-09,9856612,cross,13614,138.1,Cases reported in the past 14 days
Cases,14 days,WHO,ARG,2021-09-09,45864941,cross,63716,138.9,Cases reported in the past 14 days
Cases,14 days,WHO,ARM,2021-09-09,3011609,cross,7258,241,Cases reported in the past 14 days
Cases,14 days,WHO,ASM,2021-09-09,46366,cross,0,0,Cases reported in the past 14 days
Cases,14 days,WHO,ATG,2021-09-09,99175,cross,434,437.6,Cases reported in the past 14 days
Cases,14 days,WHO,AUS,2021-09-09,25809973,cross,19609,76,Cases reported in the past 14 days
Cases,14 days,WHO,AUT,2021-09-09,8884864,cross,22076,248.5,Cases reported in the past 14 days
Cases,14 days,WHO,AZE,2021-09-09,10282283,cross,48454,471.2,Cases reported in the past 14 days
Cases,14 days,WHO,BDI,2021-09-09,12241065,cross,2229,18.2,Cases reported in the past 14 days
Cases,14 days,WHO,BEL,2021-09-09,11778842,cross,24263,206,Cases reported in the past 14 days
Cases,14 days,WHO,BEN,2021-09-09,13301694,cross,6614,49.7,Cases reported in the past 14 days
Cases,14 days,WHO,BES,2021-09-09,0,cross,84,,Cases reported in the past 14 days
Cases,14 days,WHO,BFA,2021-09-09,21382659,cross,135,0.6,Cases reported in the past 14 days
Cases,14 days,WHO,BGD,2021-09-09,164098818,cross,42262,25.8,Cases reported in the past 14 days
Cases,14 days,WHO,BGR,2021-09-09,6919180,cross,19973,288.7,Cases reported in the past 14 days
Cases,14 days,WHO,BHR,2021-09-09,1526929,cross,1433,93.8,Cases reported in the past 14 days
Cases,14 days,WHO,BHS,2021-09-09,352655,cross,1318,373.7,Cases reported in the past 14 days
Cases,14 days,WHO,BIH,2021-09-09,3824782,cross,7951,207.9,Cases reported in the past 14 days
Cases,14 days,WHO,BLM,2021-09-09,7116,cross,54,758.9,Cases reported in the past 14 days
Cases,14 days,WHO,BLR,2021-09-09,9441842,cross,22726,240.7,Cases reported in the past 14 days
Cases,14 days,WHO,BLZ,2021-09-09,405633,cross,1436,354,Cases reported in the past 14 days
Cases,14 days,WHO,BMU,2021-09-09,72084,cross,481,667.3,Cases reported in the past 14 days
Cases,14 days,WHO,BOL,2021-09-09,11758869,cross,5394,45.9,Cases reported in the past 14 days
Cases,14 days,WHO,BRA,2021-09-09,213445417,cross,298712,139.9,Cases reported in the past 14 days
Cases,14 days,WHO,BRB,2021-09-09,301865,cross,792,262.4,Cases reported in the past 14 days
Cases,14 days,WHO,BRN,2021-09-09,471103,cross,1524,323.5,Cases reported in the past 14 days
Cases,14 days,WHO,BTN,2021-09-09,857423,cross,5,0.6,Cases reported in the past 14 days
Cases,14 days,WHO,BWA,2021-09-09,2350667,cross,11344,482.6,Cases reported in the past 14 days
Cases,14 days,WHO,CAF,2021-09-09,5357984,cross,39,0.7,Cases reported in the past 14 days
Cases,14 days,WHO,CAN,2021-09-09,37943231,cross,49497,130.5,Cases reported in the past 14 days
Cases,14 days,WHO,CHE,2021-09-09,8453550,cross,32565,385.2,Cases reported in the past 14 days
Cases,14 days,WHO,CHL,2021-09-09,18307925,cross,6973,38.1,Cases reported in the past 14 days
Cases,14 days,WHO,CHN,2021-09-09,1397897720,cross,552,0,Cases reported in the past 14 days
Cases,14 days,WHO,CIV,2021-09-09,28088455,cross,3255,11.6,Cases reported in the past 14 days
Cases,14 days,WHO,CMR,2021-09-09,28524175,cross,785,2.8,Cases reported in the past 14 days
Cases,14 days,WHO,COD,2021-09-09,105044646,cross,1859,1.8,Cases reported in the past 14 days
Cases,14 days,WHO,COG,2021-09-09,5417414,cross,168,3.1,Cases reported in the past 14 days
Cases,14 days,WHO,COK,2021-09-09,8327,cross,0,0,Cases reported in the past 14 days
Cases,14 days,WHO,COL,2021-09-09,50355650,cross,26708,53,Cases reported in the past 14 days
Cases,14 days,WHO,COM,2021-09-09,864335,cross,38,4.4,Cases reported in the past 14 days
Cases,14 days,WHO,CPV,2021-09-09,589451,cross,1283,217.7,Cases reported in the past 14 days
Cases,14 days,WHO,CRI,2021-09-09,5151140,cross,33428,648.9,Cases reported in the past 14 days
