"Variants","country_code","Verification","country_name","variant_file_date","variant_date"
"Beta (B.1.351)","IRL","Verified","Ireland",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","NLD","Verified","Netherlands",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","ISR","Verified","Israel",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","BEL","Verified","Belgium",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","NZL","Verified","New Zealand",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","DEU","Verified","Germany",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","DNK","Verified","Denmark",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","GHA","Verified","Ghana",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","MYT","Verified","Mayotte",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","PRT","Verified","Portugal",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","KEN","Verified","Kenya",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","ARE","Verified","United Arab Emirates",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","MOZ","Verified","Mozambique",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","MWI","Verified","Malawi",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","NAM","Verified","Namibia",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","LUX","Verified","Luxembourg",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","REU","Verified","Réunion",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","THA","Verified","Thailand",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","IND","Verified","India",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","BRN","Verified","Brunei Darussalam",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","POL","Unverified","Poland",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","SVN","Verified","Slovenia",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","ROU","Verified","Romania",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","CMR","Verified","Cameroon",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","AGO","Verified","Angola",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","MCO","Verified","Monaco",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","RWA","Verified","Rwanda",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","ABW","Verified","Aruba",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","MYS","Verified","Malaysia",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","LVA","Verified","Latvia",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","LTU","Verified","Lithuania",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","BRA","Verified","Brazil",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","JOR","Verified","Jordan",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","SWZ","Verified","Eswatini",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","LSO","Verified","Lesotho",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","ZAF","Verified","South Africa",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","ESP","Verified","Spain",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","ZWE","Verified","Zimbabwe",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","MKD","Verified","North Macedonia",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","SGP","Verified","Singapore",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","BGD","Verified","Bangladesh",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","MDG","Verified","Madagascar",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","PRI","Verified","Puerto Rico",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","IRN","Verified","Iran (Islamic Republic of)",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","MTQ","Verified","Martinique",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","BHR","Verified","Bahrain",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","MUS","Verified","Mauritius",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","SYC","Verified","Seychelles",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","PAK","Verified","Pakistan",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","CIV","Verified","Côte d’Ivoire",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","GNQ","Verified","Equatorial Guinea",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","TGO","Verified","Togo",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","TUN","Verified","Tunisia",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","LKA","Verified","Sri Lanka",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","UGA","Verified","Uganda",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","CUB","Verified","Cuba",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","PAN","Verified","Panama",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","EST","Verified","Estonia",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","CZE","Verified","Czechia",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","HRV","Verified","Croatia",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","SVK","Verified","Slovakia",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","UZB","Verified","Uzbekistan",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","ARG","Verified","Argentina",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","SXM","Verified","Sint Maarten",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","ITA","Verified","Italy",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","RUS","Verified","Russian Federation",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","TUR","Verified","Turkey",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","CYP","Verified","Cyprus",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","SAU","Verified","Saudi Arabia",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","TZA","Verified","United Republic of Tanzania",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","GIN","Verified","Guinea",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","GNB","Verified","Guinea-Bissau",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","MRT","Verified","Mauritania",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","SEN","Verified","Senegal",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","GEO","Unverified","Georgia",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","XKX","Unverified","Kosovo",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","IRQ","Verified","Iraq",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","BMU","Verified","Bermuda",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","DJI","Verified","Djibouti",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","BTN","Verified","Bhutan",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","PYF","Verified","French Polynesia",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","GUM","Verified","Guam",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","BGR","Verified","Bulgaria",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","OMN","Verified","Oman",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","IDN","Verified","Indonesia",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","SUR","Verified","Suriname",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","CHL","Verified","Chile",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","MEX","Verified","Mexico",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","ATG","Verified","Antigua and Barbuda",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","GTM","Verified","Guatemala",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","KGZ","Verified","Kyrgyzstan",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","BIH","Verified","Bosnia and Herzegovina",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","KWT","Verified","Kuwait",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","CAN","Verified","Canada",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","USA","Verified","United States of America",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","CRI","Verified","Costa Rica",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","GUF","Verified","French Guiana",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","GLP","Verified","Guadeloupe",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","SOM","Verified","Somalia",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","BDI","Verified","Burundi",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","SDN","Verified","Sudan",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","MAR","Verified","Morocco",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","SSD","Verified","South Sudan",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","GAB","Verified","Gabon",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","NGA","Verified","Nigeria",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","KHM","Verified","Cambodia",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","VIR","Verified","United States Virgin Islands",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","URY","Verified","Uruguay",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","CAF","Verified","Central African Republic",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","COG","Verified","Congo",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","COD","Verified","Democratic Republic of the Congo",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","FLK","Verified","Falkland Islands (Malvinas)",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","YEM","Verified","Yemen",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","CUW","Verified","Curaçao",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","AND","Unverified","Andorra",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","CYM","Verified","Cayman Islands",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","ISL","Verified","Iceland",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","BEN","Verified","Benin",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","LBR","Verified","Liberia",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","SLE","Verified","Sierra Leone",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","ETH","Verified","Ethiopia",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","NIC","Verified","Nicaragua",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","BFA","Verified","Burkina Faso",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","CPV","Verified","Cabo Verde",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","TCD","Verified","Chad",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","GMB","Verified","Gambia",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","MLI","Verified","Mali",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","STP","Verified","Sao Tome and Principe",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","AFG","Not reported","Afghanistan",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","AIA","Not reported","Anguilla",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","ALB","Not reported","Albania",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","ARM","Not reported","Armenia",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","ASM","Not reported","American Samoa",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","AZE","Not reported","Azerbaijan",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","BES","Not reported","Bonaire, Sint Eustatius, and Saba",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","BHS","Not reported","Bahamas",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","BLM","Not reported","Saint Barthélemy",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","BLR","Not reported","Belarus",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","BLZ","Not reported","Belize",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","BOL","Not reported","Bolivia (Plurinational State of)",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","BRB","Not reported","Barbados",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","COK","Not reported","Cook Islands",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","COL","Not reported","Colombia",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","DMA","Not reported","Dominica",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","DOM","Not reported","Dominican Republic",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","DZA","Not reported","Algeria",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","ECU","Not reported","Ecuador",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","EGY","Not reported","Egypt",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","ERI","Not reported","Eritrea",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","ESH","Not reported","Western Sahara",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","FJI","Not reported","Fiji",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","FRO","Not reported","Faroe Islands",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","FSM","Not reported","Micronesia (Federated States of)",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","GGY","Not reported","Guernsey",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","GIB","Not reported","Gibraltar",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","GRD","Not reported","Grenada",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","GRL","Not reported","Greenland",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","GUY","Not reported","Guyana",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","HKG","Not reported","Hong Kong",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","HND","Not reported","Honduras",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","HTI","Not reported","Haiti",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","IMN","Not reported","Isle of Man",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","JAM","Not reported","Jamaica",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","JEY","Not reported","Jersey",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","KIR","Not reported","Kiribati",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","KNA","Not reported","Saint Kitts and Nevis",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","LAO","Not reported","Lao People's Democratic Republic",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","LBN","Not reported","Lebanon",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","LCA","Not reported","Saint Lucia",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","LIE","Not reported","Liechtenstein",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","MAC","Not reported","Macau",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","MDA","Not reported","Republic of Moldova",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","MDV","Not reported","Maldives",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","MHL","Not reported","Marshall Islands",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","MMR","Not reported","Myanmar",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","MNE","Not reported","Montenegro",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","MNG","Not reported","Mongolia",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","MNP","Not reported","Northern Mariana Islands (Commonwealth of the)",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","MSR","Not reported","Montserrat",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","NCL","Not reported","New Caledonia",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","NER","Not reported","Niger",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","NIU","Not reported","Niue",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","NPL","Not reported","Nepal",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","NRU","Not reported","Nauru",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","PCN","Not reported","Pitcairn Islands",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","PER","Not reported","Peru",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","PLW","Not reported","Palau",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","PNG","Not reported","Papua New Guinea",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","PRK","Not reported","Democratic People's Republic of Korea",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","PRY","Not reported","Paraguay",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","SHN","Not reported","Saint Helena",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","SLB","Not reported","Solomon Islands",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","SLV","Not reported","El Salvador",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","SMR","Not reported","San Marino",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","SPM","Not reported","Saint Pierre and Miquelon",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","SRB","Not reported","Serbia",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","SYR","Not reported","Syrian Arab Republic",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","TCA","Not reported","Turks and Caicos Islands",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","TJK","Not reported","Tajikistan",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","TKL","Not reported","Tokelau",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","TKM","Not reported","Turkmenistan",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","TLS","Not reported","Timor-Leste",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","TON","Not reported","Tonga",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","TTO","Not reported","Trinidad and Tobago",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","TUV","Not reported","Tuvalu",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","TWN","Not reported","Taiwan",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","VAT","Not reported","Holy See",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","VCT","Not reported","Saint Vincent and the Grenadines",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","VEN","Not reported","Venezuela (Bolivarian Republic of)",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","VGB","Not reported","British Virgin Islands",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","VUT","Not reported","Vanuatu",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","WLF","Not reported","Wallis and Futuna",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","WSM","Not reported","Samoa",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","OTH","Not reported","Other",2022-03-30,"Data as of 2022-03-29"
"Beta (B.1.351)","XCA","Not reported","Saba",2022-03-30,"Data as of 2022-03-29"
"Alpha (B.1.1.7)","SAU","Verified","Saudi Arabia",2022-03-30,"Data as of 2022-03-29"
"Alpha (B.1.1.7)","NPL","Verified","Nepal",2022-03-30,"Data as of 2022-03-29"
"Alpha (B.1.1.7)","BRN","Verified","Brunei Darussalam",2022-03-30,"Data as of 2022-03-29"
"Alpha (B.1.1.7)","LBY","Verified","Libya",2022-03-30,"Data as of 2022-03-29"
"Alpha (B.1.1.7)","MLT","Verified","Malta",2022-03-30,"Data as of 2022-03-29"
"Alpha (B.1.1.7)","CPV","Verified","Cabo Verde",2022-03-30,"Data as of 2022-03-29"
"Alpha (B.1.1.7)","MDA","Verified","Republic of Moldova",2022-03-30,"Data as of 2022-03-29"
"Alpha (B.1.1.7)","MAF","Verified","Saint Martin",2022-03-30,"Data as of 2022-03-29"
"Alpha (B.1.1.7)","PYF","Verified","French Polynesia",2022-03-30,"Data as of 2022-03-29"
"Alpha (B.1.1.7)","BLM","Verified","Saint Barthélemy",2022-03-30,"Data as of 2022-03-29"
"Alpha (B.1.1.7)","NCL","Verified","New Caledonia",2022-03-30,"Data as of 2022-03-29"
"Alpha (B.1.1.7)","AZE","Verified","Azerbaijan",2022-03-30,"Data as of 2022-03-29"
"Alpha (B.1.1.7)","DZA","Verified","Algeria",2022-03-30,"Data as of 2022-03-29"
"Alpha (B.1.1.7)","AFG","Verified","Afghanistan",2022-03-30,"Data as of 2022-03-29"
"Alpha (B.1.1.7)","KAZ","Verified","Kazakhstan",2022-03-30,"Data as of 2022-03-29"
"Alpha (B.1.1.7)","QAT","Verified","Qatar",2022-03-30,"Data as of 2022-03-29"
"Alpha (B.1.1.7)","CUB","Verified","Cuba",2022-03-30,"Data as of 2022-03-29"
"Alpha (B.1.1.7)","PAN","Verified","Panama",2022-03-30,"Data as of 2022-03-29"
"Alpha (B.1.1.7)","ARM","Verified","Armenia",2022-03-30,"Data as of 2022-03-29"
"Alpha (B.1.1.7)","GBR","Verified","The United Kingdom",2022-03-30,"Data as of 2022-03-29"
"Alpha (B.1.1.7)","ISL","Verified","Iceland",2022-03-30,"Data as of 2022-03-29"
"Alpha (B.1.1.7)","ITA","Verified","Italy",2022-03-30,"Data as of 2022-03-29"
"Alpha (B.1.1.7)","PHL","Verified","Philippines",2022-03-30,"Data as of 2022-03-29"
"Alpha (B.1.1.7)","AUS","Verified","Australia",2022-03-30,"Data as of 2022-03-29"
"Alpha (B.1.1.7)","DNK","Verified","Denmark",2022-03-30,"Data as of 2022-03-29"
"Alpha (B.1.1.7)","ISR","Verified","Israel",2022-03-30,"Data as of 2022-03-29"
"Alpha (B.1.1.7)","CHN","Verified","China",2022-03-30,"Data as of 2022-03-29"
"Alpha (B.1.1.7)","DEU","Verified","Germany",2022-03-30,"Data as of 2022-03-29"
"Alpha (B.1.1.7)","NLD","Verified","Netherlands",2022-03-30,"Data as of 2022-03-29"
"Alpha (B.1.1.7)","SGP","Verified","Singapore",2022-03-30,"Data as of 2022-03-29"
"Alpha (B.1.1.7)","IRL","Verified","Ireland",2022-03-30,"Data as of 2022-03-29"
"Alpha (B.1.1.7)","JPN","Verified","Japan",2022-03-30,"Data as of 2022-03-29"
"Alpha (B.1.1.7)","CHE","Verified","Switzerland",2022-03-30,"Data as of 2022-03-29"
"Alpha (B.1.1.7)","FRA","Verified","France",2022-03-30,"Data as of 2022-03-29"
"Alpha (B.1.1.7)","SWE","Verified","Sweden",2022-03-30,"Data as of 2022-03-29"
"Alpha (B.1.1.7)","NOR","Verified","Norway",2022-03-30,"Data as of 2022-03-29"
"Alpha (B.1.1.7)","ESP","Verified","Spain",2022-03-30,"Data as of 2022-03-29"
"Alpha (B.1.1.7)","BEL","Verified","Belgium",2022-03-30,"Data as of 2022-03-29"
"Alpha (B.1.1.7)","FIN","Verified","Finland",2022-03-30,"Data as of 2022-03-29"
"Alpha (B.1.1.7)","JOR","Verified","Jordan",2022-03-30,"Data as of 2022-03-29"
"Alpha (B.1.1.7)","PRT","Verified","Portugal",2022-03-30,"Data as of 2022-03-29"
"Alpha (B.1.1.7)","IND","Verified","India",2022-03-30,"Data as of 2022-03-29"
"Alpha (B.1.1.7)","KOR","Verified","Republic of Korea",2022-03-30,"Data as of 2022-03-29"
"Alpha (B.1.1.7)","GEO","Verified","Georgia",2022-03-30,"Data as of 2022-03-29"
"Alpha (B.1.1.7)","PAK","Verified","Pakistan",2022-03-30,"Data as of 2022-03-29"
"Alpha (B.1.1.7)","ARE","Verified","United Arab Emirates",2022-03-30,"Data as of 2022-03-29"
"Alpha (B.1.1.7)","TUR","Verified","Turkey",2022-03-30,"Data as of 2022-03-29"
"Alpha (B.1.1.7)","VNM","Verified","Viet Nam",2022-03-30,"Data as of 2022-03-29"
"Alpha (B.1.1.7)","CYP","Verified","Cyprus",2022-03-30,"Data as of 2022-03-29"
